"Name"|"Street"|"City"|"State"|"Email"|"Phone"|"Lat"|"Long"|"County"
"Aurora"|"7450 S. Gartrell , Unit B3"|"Aurora"|"CO"|"southaurora@ofacolorado.com"|"(720) 234-1905"|39.5657693|-104.7183366|"""Arapahoe"""
"Salida"|"142 W. 1st St"|"Salida"|"CO"|"salida@ofacolorado.com"|"(719) 207-0234"|38.5367155|-105.9924864|"""Chaffee"""
"Grand Junction"|"2454 HWY 6 &amp; 50 , Suite 112"|"Grand Junction"|"CO"|"ngrandjunction@ofacolorado.com"|"(970) 629-7711"|39.087698|-108.597232|"""Mesa"""
"Firestone"|"8110 Weld County Rd 13, Unit S2"|"Firestone"|"CO"|"firestone@ofacolorado.com"|"(970) 417-7757"|40.1605701|-104.9417496|"""Weld"""
"Trinidad"|"2124 Freedom Rd"|"Trinidad"|"CO"|"trinidad@ofacolorado.com"|"(719) 289-5689"|37.1881266|-104.4975503|"""Las Animas"""
"Pagosa Springs"|"527 San Juan St, Suite A"|"Pagosa Springs"|"CO"|"pagosasprings@ofacolorado.com"|"(970) 443-3678"|37.2663434|-107.0138633|"""Archuleta"""
"Montrose"|"823 E. Main St."|"Montrose"|"CO"|"montrose@ofacolorado.com"|"(970) 275-5121"|38.482977|-107.872186|"""Montrose"""
"Gunnison"|"722 N. Main St"|"Gunnison"|"CO"|"gunnison@ofacolorado.com"|"(970) 443-3532"|38.5522398|-106.9269102|"""Gunnison"""
"Cortez"|"2 W. Main St., Unit 4"|"Cortez"|"CO"|"cortez@ofacolorado.com"|"(970) 443-3608"|37.3486431|-108.5852564|"""Montezuma"""
"Carbondale"|"946 Hwy 133"|"Carbondale"|"CO"|"carbondale@ofacolorado.com"|"(970) 275-2838"|39.2582189|-107.2332798|"""Garfield"""
"Denver"|"2200-O S. Monaco Pkwy"|"Denver"|"CO"|"sedenver@ofacolorado.com"|"(720) 289-9224"|39.6765426|-104.9112068|"""Denver"""
"Louisville"|"1110 South Boulder Rd"|"Louisville"|"CO"|"louisville@ofacolorado.com"|"(720) 409-7339"|39.9868188|-105.1306522|"""Boulder"""
"Boulder"|"1159 13th St."|"Boulder"|"CO"|"cuboulder@ofacolorado.com"|"(720) 409-7337"|40.0079477|-105.2762256|"""Boulder"""
"Alamosa"|"1435 Main Street, Suite B"|"Alamosa"|"CO"|"alamosa@ofacolorado.com"|"(719) 289-4035"|37.468188|-105.877881|"""Alamosa"""
"Fairplay"|"526 Front St."|"Fairplay"|"CO"|"fairplay@ofacolorado.com"|"(720) 302-3671"|39.22379|-106.001853|"""Park"""
"Denver"|"3867 Tennyson St."|"Denver"|"CO"|"nwdenver@ofacolorado.com"|"(720) 296-3447"|39.7703316|-105.0442084|"""Denver"""
"Greeley"|"3050 67th Ave, Unit 101"|"Greeley"|"CO"|"westgreeley@ofacolorado.com"|"(970) 497-6140"|40.3880363|-104.7859803|"""Weld"""
"Telluride"|"129 W Colorado Ave"|"Telluride"|"CO"|"telluride@ofacolorado.com"|"(970) 215-0614"|37.9372307|-107.8110836|"""San Miguel"""
"Fort Collins"|"1205B W. Elizabeth St."|"Fort Collins"|"CO"|"ramsforobama@ofacolorado.com"|"(970) 749-9352"|40.574277|-105.097126|"""Larimer"""
"Parker"|"10841 S. Crossroads Dr., Unit 15"|"Parker"|"CO"|"parker@ofacolorado.com"||39.519503|-104.7664451|"""Douglas"""
"Denver"|"7150 Leetsdale Dr., Unit 316"|"Denver"|"CO"|"lowry@ofacolorado.com"||39.698384|-104.904275|"""Denver"""
"Denver"|"3980 Quebec St. Unit 160"|"Denver"|"CO"|"stapleton@ofacolorado.com"||39.772612|-104.8995599|"""Denver"""
"Castle Rock"|"116 S. Wilcox Street"|"Castle Rock"|"CO"|"castlerock@ofacolorado.com"|"(720) 206-6252"|39.3678727|-104.8608403|"""Douglas"""
"Denver"|"2442 S. University Blvd"|"Denver"|"CO"|"du@ofacolorado.com"||39.6721239|-104.958992|"""Denver"""
"Westminster"|"8020 Federal Blvd, Unit #5"|"Westminster"|"CO"|"westminster@ofacolorado.com"||39.8425155|-105.0244383|"""Adams"""
"Arvada"|"12324-B W. 64th Ave"|"Arvada"|"CO"|"westarvada@ofacolorado.com"||39.8126741|-105.1356411|"""Jefferson"""
"East Hartford"|"144 Main Street, Unit E"|"East Hartford"|"CT"|"agardner@barackobama.com"|"(860) 249-3658"|41.7344422|-72.6265986|"""Hartford"""
"Bridgeport"|"360 Fairfield Avenue, 2nd Floor"|"Bridgeport"|"CT"|"tkolasanoye@barackobama.com"|"(203) 893-1205"|41.1779698|-73.1935225|"""Fairfield"""
"New Castle"|"19 E. Commons Blvd., 2nd Floor"|"New Castle"|"DE"|"Appollos.baker@barackobama.com"|"(302) 328-9036"|39.6931185|-75.6004802|"""New Castle"""
"Washington"|"430 South Capitol Street, SE"|"Washington"|"DC"|"dc@barackobama.com"|"(202) 479-5172"|38.8839521|-77.0084218|"""District of Columbia District"""
"Tampa"|"1702 N. 14th St.  (La Avenida Republica de Cuba)"|"Tampa"|"FL"|"bmounce@ofafl.com"|"(813) 443-8288"|27.9668313|-82.4441989|"""Hillsborough"""
"Miami Beach"|"801 Arthur Godfrey Rd, 3rd Floor"|"Miami Beach"|"FL"|"ccialeo@ofafl.com"|"(305) 934-2897"|25.8140473|-80.1335882|"""Miami-Dade"""
"Orlando"|"1516 Colonial Dr Suite 203"|"Orlando"|"FL"|"aruiz@ofafl.com"|"(407) 412-4586"|28.5531215|-81.3609446|"""Orange"""
"Miami Gardens"|"4797 NW 183rd St"|"Miami Gardens"|"FL"|"dfrazier@ofafl.com"|"(305) 790-2510"|25.9397009|-80.280075|"""Miami-Dade"""
"Lauderhill"|"3300 Inverrary Blvd Suite 300"|"Lauderhill"|"FL"|"cesperias@ofafl.com"|"(954) 552-4339"|26.166042|-80.226474|"""Broward"""
"Boca Raton"|"6020 N Federal Highway Suite 2"|"Boca Raton"|"FL"|"jdecarvalho@ofafl.com"|"(561) 962-5023"|26.403115|-80.0757689|"""Palm Beach"""
"St Petersburg"|"951 Central Ave, Suite A"|"St Petersburg"|"FL"|"tlaney@ofafl.com"|"(727) 697-7632"|27.7712048|-82.6479128|"""Pinellas"""
"Tallahassee"|"541 N Monroe St"|"Tallahassee"|"FL"|"acrombie@ofafl.com"|"(850) 459-9096"|30.4477901|-84.2806767|"""Leon"""
"Jacksonville"|"608 N. Julia Street"|"Jacksonville"|"FL"|"ahooks@ofafl.com"|"(904) 616-7289"|30.3318822|-81.660561|"""Duval"""
"Daytona Beach"|"1020 W. International Speedway Blvd, Suite 201, 2nd floor"|"Daytona Beach"|"FL"|"kparker@ofafl.com"|"(954) 683-6271"|29.202569|-81.042941|"""Volusia"""
"Sarasota"|"305 Gillespie Avenue"|"Sarasota"|"FL"|"ejames@ofafl.com"|"(941) 302-5032"|27.339136|-82.532575|"""Sarasota"""
"Pembroke Pines"|"2104 N. Flamingo Road"|"Pembroke Pines"|"FL"|"dha@ofafl.com"|"(954) 647-2789"|26.0274028|-80.3125755|"""Broward"""
"Melbourne"|"907 E Strawbridge Avenue, 1st Floor"|"Melbourne"|"FL"|"dmcmullen@ofafl.com"|"(321) 514-5707"|28.0793609|-80.6056338|"""Brevard"""
"Ft. Myers"|"1716 Fowler Street"|"Ft. Myers"|"FL"|"csaling@ofafl.com"|"(239) 851-2779"|26.6442542|-81.86462|"""Lee"""
"Riviera Beach"|"3520 Broadway"|"Riviera Beach"|"FL"|"dblythers@ofafl.com"|"(561) 339-7829"|26.7906142|-80.0543357|"""Palm Beach"""
"Gainesville"|"315 SE 2nd Avenue"|"Gainesville"|"FL"|"eikene@ofafl.com"|"(352) 610-2198"|29.650178|-82.3217696|"""Alachua"""
"Pinecrest"|"11315 S. Dixie Highway"|"Pinecrest"|"FL"|"zczajkowski@ofafl.com"|"(305) 905-1872"|25.6654216|-80.3240096|"""Miami-Dade"""
"Palm Beach Gardens"|"4550 Donald Ross Road Suite 110"|"Palm Beach Gardens"|"FL"|"mhochhauser@ofafl.com"|"(813) 528-0274"|26.88164|-80.10612|"""Palm Beach"""
"Pensacola"|"2415 N Pace Blvd"|"Pensacola"|"FL"|"lwillie@ofafl.com"|"(850) 238-6377"|30.438155|-87.240611|"""Escambia"""
"Pompano Beach"|"950 N. Federal Highway Suite #201"|"Pompano Beach"|"FL"|"apeerman@ofafl.com"|"(772) 607-2974"|26.2417691|-80.1020154|"""Broward"""
"Naples"|"5286 Golden Gate Parkway, 2"|"Naples"|"FL"|"adobson@ofafl.com"|"(239) 304-6285"|26.1748669|-81.7139041|"""Collier"""
"Wilton Manors"|"612 NE 26th Street"|"Wilton Manors"|"FL"|"stsou@ofafl.com"|"(561) 329-3481"|26.1591896|-80.1377136|"""Broward"""
"Panama City"|"1106 Harrison Ave #B"|"Panama City"|"FL"|"fcampbell@ofafl.com"|"(850) 899-3057"|30.1681|-85.659858|"""Bay"""
"Riverview"|"11215 Bloomingdale Ave"|"Riverview"|"FL"|"jtan@ofafl.com"|"(813) 720-5667"|27.8935792|-82.3156002|"""Hillsborough"""
"Florida City"|"1380 North Krome Ave #101"|"Florida City"|"FL"|"ecebert@ofafl.com"|"(305) 793-8767"|25.4603829|-80.4779273|"""Miami-Dade"""
"Sanford"|"1426 W. 1st Street"|"Sanford"|"FL"|"jfernandes@ofafl.com"|"(407) 619-6681"|28.8117149|-81.2829789|"""Seminole"""
"Kissimmee"|"1004 Royal Street"|"Kissimmee"|"FL"|"mpadilla@ofafl.com"|"(407) 496-4794"|28.301109|-81.400841|"""Osceola"""
"Quincy"|"17 E Jefferson St"|"Quincy"|"FL"|"pwatson@ofafl.com"|"(904) 616-9468"|30.5880661|-84.5764249|"""Gadsden"""
"Wesley Chapel"|"29141 Chapel Park Dr"|"Wesley Chapel"|"FL"|"bthompson@ofafl.com"|"(352) 213-0487"|28.2403279|-82.3321149|"""Pasco"""
"Santa Rosa Beach"|"2890 Hwy 98 West, Unit 4-5"|"Santa Rosa Beach"|"FL"|"jabel@ofafl.com"|"(850) 708-5016"|30.373708|-86.214739|"""Walton"""
"Ocala"|"21 N. Magnolia Ave"|"Ocala"|"FL"|"ADeitchler@ofafl.com"|"(352) 610-2199"|29.187709|-82.136719|"""Marion"""
"Largo"|"225 West Bay Dr, E4"|"Largo"|"FL"|"mjay-dixon@ofafl.com"|"(727) 560-9863"|27.916596|-82.7904773|"""Pinellas"""
"Port St. Lucie"|"1060 SE Port St. Lucie Boulevard"|"Port St. Lucie"|"FL"|"mbhardwaj@ofafl.com"|"(772) 607-2520"|27.2717148|-80.3176886|"""St. Lucie"""
"Lake City"|"200 N Marion Ave"|"Lake City"|"FL"|"jklein@ofafl.com"|"(352) 610-2137"|30.2093051|-82.6375003|"""Columbia"""
"West Palm Beach"|"3008 S. Dixie Hwy"|"West Palm Beach"|"FL"|"JJasrasaria@ofafl.com"|"(561) 427-9803"|26.686421|-80.054095|"""Palm Beach"""
"Cocoa"|"1521 N. Cocoa Blvd"|"Cocoa"|"FL"|"elaurent@ofafl.com"|"(321) 506-3445"|28.3829399|-80.7419579|"""Brevard"""
"Orange City"|"157 N. Industrial Dr"|"Orange City"|"FL"|||28.9371|-81.2986456|"""Volusia"""
"Palm Coast"|"4882 Palm Coast Parkway"|"Palm Coast"|"FL"|"aprickett@ofafl.com"|"(904) 327-5738"|29.55382|-81.249321|"""Flagler"""
"Fort Lauderdale"|"1033 Sistrunk Boulevard, Suite 103"|"Fort Lauderdale"|"FL"|"ynasser@ofafl.com"|"(954) 647-2613"|26.1288627|-80.1804187|"""Broward"""
"Clearwater"|"1820 Drew St"|"Clearwater"|"FL"|"cnugent@ofafl.com"|"(561) 307-6799"|27.9679038|-82.762013|"""Pinellas"""
"Orlando"|"3151 N Alafaya Trl, Suite 102"|"Orlando"|"FL"|"mpadilla@ofafl.com"|"(407) 496-4794"|28.583768|-81.2064743|"""Orange"""
"Tampa"|"3105 W. Waters AVe, Suite 315"|"Tampa"|"FL"|"amontes@ofafl.com"|"(813) 503-6859"|28.025735|-82.493019|"""Hillsborough"""
"Miami"|"2141 SW 1st St, Suite 204-205"|"Miami"|"FL"|"ccialeo@ofafl.com"|"(305) 934-2897"|25.771785|-80.230042|"""Miami-Dade"""
"Immokalee"|"201 N 1st St"|"Immokalee"|"FL"|"evilardell@ofafl.com"|"(239) 404-9187"|26.420614|-81.417694|"""Collier"""
"Bradenton"|"918 West 14th St"|"Bradenton"|"FL"|"mprull@ofafl.com"|"(941) 243-1027"|27.4912611|-82.575263|"""Manatee"""
"New Port Richey"|"5647 Pine St"|"New Port Richey"|"FL"|"bthompson@ofafl.com"|"(352) 213-0487"|28.237498|-82.7206093|"""Pasco"""
"Gainesville"|"2727 NW 43rd St, #4B"|"Gainesville"|"FL"|"shealy@ofafl.com"|"(352) 215-8938"|29.6781071|-82.3880632|"""Alachua"""
"Spring Hill"|"5170 Mariner Blvd"|"Spring Hill"|"FL"|"bthompson@ofafl.com"|"(352) 213-0487"|28.5027548|-82.5243045|"""Hernando"""
"Hollywood"|"2001 Tyler St, Unit #8"|"Hollywood"|"FL"|"cmetzger@ofafl.com"|"(786) 763-1560"|26.012525|-80.14712|"""Broward"""
"Jacksonville"|"11655 Central Parkway, 305"|"Jacksonville"|"FL"|"cswiridowsky@ofafl.com"|"(904) 305-6670"|30.2810464|-81.522283|"""Duval"""
"Cape Coral"|"3108 Del Prado Blvd South, #6"|"Cape Coral"|"FL"|"ecarlson@ofafl.com"|"(239) 691-7423"|26.593981|-81.942072|"""Lee"""
"Fort Pierce"|"300 South US Hwy 1"|"Fort Pierce"|"FL"|"mmarcela@ofafl.com"|"(772) 607-1266"|27.444764|-80.3255889|"""St Lucie"""
"Orlando"|"9521 South Orange Blossom Trail, #104"|"Orlando"|"FL"|"nklein@ofafl.com"|"(407) 267-5219"|28.420909|-81.403471|"""Orange"""
"Sun City Center"|"129 South Pebble Beach Blvd, 100"|"Sun City Center"|"FL"|"mprull@ofafl.com"|"(813) 527-1107"|27.7116349|-82.3519476|"""Hillsborough"""
"Jacksonville"|"1680 Dunn Ave, Suite 38"|"Jacksonville"|"FL"|"cloper@ofafl.com"|"(904) 629-2095"|30.433535|-81.676534|"""Duval"""
"Tallahassee"|"704 W Madison St"|"Tallahassee"|"FL"|"maldana@ofafl.com"|"(904) 382-8450"|30.4367207|-84.2935283|"""Leon"""
"Boynton Beach"|"3200 S. Congress, Suite 100"|"Boynton Beach"|"FL"|"gabbott@ofafl.com"|"(561) 962-5182"|26.495671|-80.089395|"""Palm Beach"""
"St. Augustine"|"Depot Plaza 3149 Ponce De Leon Blvd, Suite 1"|"St. Augustine"|"FL"|"aprickett@ofafl.com"|"(904) 327-5738"|29.9206883|-81.3253493|"""St Johns"""
"Lakeland"|"2254 E Edgewood Dr"|"Lakeland"|"FL"|"kanderson@ofafl.com"|"(863) 940-0058"|28.0132105|-81.9164974|"""Polk"""
"Summerfield"|"15437 Highway 441, Unit C"|"Summerfield"|"FL"|"kferguson@ofafl.com"|"(352) 213-2689"|28.997884|-81.998195|"""Marion"""
"Pinellas Park"|"6537 Park Blvd"|"Pinellas Park"|"FL"|"MForte-Namuj@ofaFL.com"|"(727) 612-5867"|27.839223|-82.7271293|"""Pinellas"""
"Pine Hills"|"6900 Silver Star Rd, #118"|"Pine Hills"|"FL"|"tmatthews@ofafl.com"|"(407) 913-0517"|28.577143|-81.474475|"""Orange"""
"Palm City"|"4125 SW Martin Hwy, Suite 15"|"Palm City"|"FL"|"anickles@ofafl.com"|"(561) 866-7138"|27.162496|-80.309118|"""Martin"""
"Miami"|"3250 Grand Ave - First Floor"|"Miami"|"FL"|"ccialeo@ofafl.com"|"(305) 934-2897"|25.727688|-80.246017|"""Miami-Dade"""
"Titusville"|"319 South Washington Ave, 1st Floor"|"Titusville"|"FL"|"aaiello@ofafl.com"|"(321) 537-0684"|28.6119775|-80.8074542|"""Brevard"""
"Casselberry"|"470 State Road 436"|"Casselberry"|"FL"|"ccarrier@ofafl.com"|"(407) 446-3089"|28.6541493|-81.3315993|"""Seminole"""
"Fort Myers"|"8750 Gladiolus Dr, #12"|"Fort Myers"|"FL"|"oturner@ofafl.com"|"(239) 691-7423"|26.5216141|-81.9000137|"""Lee"""
"Wellington"|"12785 W. Forest Hill Boulevard, 8C"|"Wellington"|"FL"|"mlubin@ofafl.com"|"(561) 401-2733"|26.6746017|-80.2480357|"""Palm Beach"""
"Hialeah"|"419 W 49th St, Suite #104"|"Hialeah"|"FL"|"sjackson@ofafl.com"|"(239) 304-6285"|25.8667092|-80.2914815|"""Miami-Dade"""
"Kissimmee"|"2970 Pleasant Hill Rd"|"Kissimmee"|"FL"|"mpdailla@ofafl.com"|"(407) 496-4794"|28.2130147|-81.441009|"""Osceola"""
"Apopka"|"2591 West Orange Blossom Trail"|"Apopka"|"FL"|"NMcHugh@ofafl.com"|"(407) 432-5208"|28.6927|-81.552807|"""Orange"""
"Temple Terrace"|"5246 East Fowler, Suite 4"|"Temple Terrace"|"FL"|"jveloso@ofafl.com"|"(813) 528-6723"|28.0545036|-82.3959119|"""Hillsborough"""
"Port Charlotte"|"1032 Tamiami Trail, Unit #4"|"Port Charlotte"|"FL"|"nruge@ofafl.com"|"(941) 243-1028"|27.0175293|-82.1534632|"""Charlotte"""
"Coral Springs"|"7665 W Sample Rd, Suite #7665"|"Coral Springs"|"FL"|"kfarmer@ofafl.com"|"(954) 648-9505"|26.2721725|-80.2280075|"""Broward"""
"Miami"|"275 NE 18th St  STE 104"|"Miami"|"FL"|"kcook@ofafl.com"|"(305) 301-9120"|25.79395|-80.189672|"""Miami-Dade"""
"Belle Glade"|"606 S. Main St"|"Belle Glade"|"FL"|"mclermont@ofafl.com"|"(561) 373-2871"|26.680034|-80.6698569|"""Palm Beach"""
"Winter Park"|"200 N Denning Dr, Suite #5"|"Winter Park"|"FL"|"sroberts@ofafl.com"|"(407) 459-0523"|28.5983195|-81.3609251|"""Orange"""
"Miami"|"7356 SW 117 Ave"|"Miami"|"FL"|"DNavarro@ofafl.com"|"(305) 798-4333"|25.699469|-80.3822593|"""Miami-Dade"""
"Venice"|"251 S Tamiami Tr"|"Venice"|"FL"|"meagan@ofafl.com"|"(941) 484-2437"|27.0973398|-82.4443035|"""Sarasota"""
"Vero Beach"|"2205 14th Ave, Suite 208"|"Vero Beach"|"FL"|"afreeman@ofafl.com"|"(772) 607-1617"|27.641344|-80.399613|"""Indian River"""
"DeLand"|"113 West Wisconsin Ave"|"DeLand"|"FL"|"kparker@ofafl.com"|"(904) 616-6097"|29.0316948|-81.3040697|"""Volusia"""
"Miramar"|"6750 Pembroke Rd."|"Miramar"|"FL"|"mhardy@ofafl.com"|"(954) 254-7138"|25.9936416|-80.2793477|"""Broward"""
"St. Petersburg"|"2108 34th St S"|"St. Petersburg"|"FL"|"tlaney@ofafl.com"|"(727) 698-7912"|27.749461|-82.6792649|"""Pinellas"""
"Lehigh Acres"|"411 Lee Blvd"|"Lehigh Acres"|"FL"|"vniglia@ofafl.com"|"(239) 810-3928"|26.6116579|-81.642405|"""Lee"""
